PDGP_ID,Genus,Species,FROH,Sex,ref_assembly
PD_0001,Cheracebus,lugens,0.02829385,F,Pithecia_pithecia
PD_0002,Callibella,humilis,0.00991667,M,Callithrix_jacchus
PD_0003,Cacajao,hosomi,0.06922806,M,Pithecia_pithecia
PD_0004,Ateles,belzebuth,0.08438225,F,Atele_fusciceps
PD_0005,Alouatta,macconnelli,0.06254126,M,Atele_fusciceps
PD_0006,Chiropotes,israelita,0.03880299,F,Pithecia_pithecia
PD_0007,Cebus,olivaceus,0.02831854,U,Cebus_albifrons
PD_0008,Aotus,trivirgatus,0.19520082,F,Aotus_nancymaae
PD_0009,Saguinus,inustus,0.3056544,M,Saguinus_midas
PD_0010,Cebuella,niveiventris,0.13701765,F,Callithrix_jacchus
PD_0011,Sapajus,macrocephalus,0.2827679,F,Cebus_albifrons
PD_0012,Saimiri,ustus,0.04070355,F,Cebus_albifrons
PD_0013,Cebus,unicolor,0.0088365,F,Cebus_albifrons
PD_0014,Plecturocebus,cupreus,0.02564819,F,Pithecia_pithecia
PD_0015,Pithecia,vanzolinii,0.04144865,M,Pithecia_pithecia
PD_0016,Lagothrix,lagothricha,0.02549358,M,Atele_fusciceps
PD_0017,Leontocebus,nigricollis,0.04136473,F,Saguinus_midas
PD_0018,Cacajao,melanocephalus,0.03490799,M,Pithecia_pithecia
PD_0019,Cacajao,ayresi,0.20011467,F,Pithecia_pithecia
PD_0020,Cacajao,calvus,0.07547476,F,Pithecia_pithecia
PD_0021,Cacajao,calvus,0.38788293,F,Pithecia_pithecia
PD_0022,Cacajao,ayresi,0.17439299,F,Pithecia_pithecia
PD_0023,Cacajao,calvus,0.02535423,F,Pithecia_pithecia
PD_0024,Cacajao,calvus,0.07723853,F,Pithecia_pithecia
PD_0025,Alouatta,seniculus,0.04502374,F,Atele_fusciceps
PD_0026,Alouatta,puruensis,0.13566757,F,Atele_fusciceps
PD_0027,Alouatta,discolor,0.00081997,F,Atele_fusciceps
PD_0028,Allenopithecus,nigroviridis,0.06035611,M,Chlorocebus_aethiops
PD_0029,Allochrocebus,lhoesti,0.12142062,F,Chlorocebus_aethiops
PD_0030,Allochrocebus,preussi,0.07849128,F,Chlorocebus_aethiops
PD_0031,Allochrocebus,solatus,0.1610913,M,Chlorocebus_aethiops
PD_0032,Cercopithecus,ascanius,0.02506197,F,Cercopithecus_mitis
PD_0033,Cercopithecus,nictitans,0.00264941,M,Cercopithecus_mitis
PD_0034,Erythrocebus,patas,0.01569296,M,Erythrocebus_patas
PD_0035,Hylobates,klossii,0.0153785,M,Nomascus_leucogenys
PD_0036,Hylobates,abbotti,0.02838554,M,Nomascus_leucogenys
PD_0037,Nomascus,concolor,0.06079536,M,Nomascus_leucogenys
PD_0038,Presbytis,mitrata,0.03890128,U,
PD_0039,Piliocolobus,badius,0.00408101,U,
PD_0040,Lophocebus,aterrimus,0.08320564,M,Mandrillus_sphinx
PD_0041,Cercopithecus,cephus,0.01539521,M,Cercopithecus_mitis
PD_0042,Cercopithecus,mona,0.00615808,F,Cercopithecus_mitis
PD_0043,Cercopithecus,lowei,0,M,Cercopithecus_mitis
PD_0044,Macaca,siberu,0.14934915,M,Macaca_mulatta
PD_0045,Piliocolobus,gordonorum,0.23143299,U,
PD_0046,Piliocolobus,kirkii,0.06444053,U,
PD_0047,Piliocolobus,tephrosceles,0.0533823,U,
PD_0048,Trachypithecus,crepusculus,0.18048614,U,
PD_0049,Hylobates,muelleri,0.0580646,M,Nomascus_leucogenys
PD_0050,Hylobates,agilis,0,F,Nomascus_leucogenys
PD_0051,Nomascus,gabriellae,0.01602526,F,Nomascus_leucogenys
PD_0052,Presbytis,comata,0.0225114,U,
PD_0053,Trachypithecus,auratus,0.09741775,U,
PD_0054,Trachypithecus,francoisi,0.00901772,U,
PD_0055,Colobus,polykomos,0.15522173,F,Colobus_guereza
PD_0056,Colobus,guereza,0.15819119,M,Colobus_guereza
