Reference_genome	Total_Entries	Failed_to_Map
Callithrix_jacchus	267314612	81697825
Cercocebus_atys	41989564	8470483
Aotus_nancymaae	94280729	27487110
Lemur_catta-Thomas	333824531	103630294
Daubentonia_madagascariensis	3568922	1635167
Pongo_pygmaeus	18629602	2705393
Pongo_abelii	34407823	5653318
Atele_fusciceps	295888496	76112250
Sapajus_apella	26964080	10657040
Gorilla_gorilla_gorilla	44845930	13803750
Microcebus_murinus	386707804	125248495
Erythrocebus_patas	17914477	5909764
Nycticebus_pygmaeus	283275816	124930924
Galago_moholi	127813359	59843097
Cebus_albifrons	242439065	72331336
Colobus_guereza	41483448	10508771
Cercopithecus_mitis	246109824	42268887
Saguinus_midas	196495643	76550019
Rhinopithecus_roxellana	220391525	43955132
Loris_tardigradus	26170338	15514964
Mandrillus_sphinx	63707089	12790302
Otolemur_garnettii	46407933	21928599
Pithecia_pithecia	502630967	125588752
Macaca_mulatta	214185096	51870500
Nomascus_leucogenys	128852678	17894861
Chlorocebus_aethiops	111065956	21029626
Pan_troglodytes	69191017	11705310
