             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
          26190466     short b7f25d98 bjarkemp  R       1:28      1 s21n34
          26190469     short b7f25d98 bjarkemp  R       1:28      1 s21n11
          26190471     short b7f25d98 bjarkemp  R       1:28      1 s21n51
          26190472     short b7f25d98 bjarkemp  R       1:28      1 s21n51
          26190473     short b7f25d98 bjarkemp  R       3:28      1 s21n94
          26190477     short b7f25d98 bjarkemp  R       4:28      1 s21n92
          26190481     short b7f25d98 bjarkemp  R       5:28      1 s21n92
          26190485     short b7f25d98 bjarkemp  R       5:28      1 s21n92
          26190794     short b7f25d98 bjarkemp  R       7:28      1 s21n83
          26190389     short b7f25d98 bjarkemp  R       9:28      1 s21n34
          26190398     short b7f25d98 bjarkemp  R       9:28      1 s21n13
          26190399     short b7f25d98 bjarkemp  R       9:28      1 s21n83
          26190400     short b7f25d98 bjarkemp  R       9:28      1 s21n83
          26190401     short b7f25d98 bjarkemp  R       9:28      1 s21n83
          26190402     short b7f25d98 bjarkemp  R       9:28      1 s21n83
          26190403     short b7f25d98 bjarkemp  R       9:28      1 s21n83
          26190404     short b7f25d98 bjarkemp  R       9:28      1 s21n83
          26190405     short b7f25d98 bjarkemp  R       9:28      1 s21n83
          26190385 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190384 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190383 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190382 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190381 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190380 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190379 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190378 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190377 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190376 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190541 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190540 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190539 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190538 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190537 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190536 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190535 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190534 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190533 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190532 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190531 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190530 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190529 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190528 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190527 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190526 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190525 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190524 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190523 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190522 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190521 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190520 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190519 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190518 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190517 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190516 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190515 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190514 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190513 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190512 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190511 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190510 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190509 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190508 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190507 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190506 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190505 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190504 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190503 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190502 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190501 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190500 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190499 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190498 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190497 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190496 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190495 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190494 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190493 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190492 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190491 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190490 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190489 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190488 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190487 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190463 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190462 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190461 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190460 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190459 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190458 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190457 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190456 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190455 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190454 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190453 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190452 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190451 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190450 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190449 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190448 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190447 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190446 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190445 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190444 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190443 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190442 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190441 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190440 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190439 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190438 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190437 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190436 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190435 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190434 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190433 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
