"Reference_genome","Total_Entries","Failed_to_Map","fraction"
"Callithrix_jacchus",267314612,81697825,0.305624239500982
"Cercocebus_atys",41989564,8470483,0.201728291344011
"Aotus_nancymaae",94280729,27487110,0.291545369786014
"Lemur_catta-Thomas",333824531,103630294,0.310433429471365
"Daubentonia_madagascariensis",3568922,1635167,0.458168320854308
"Pongo_pygmaeus",18629602,2705393,0.145220117960652
"Pongo_abelii",34407823,5653318,0.164303274868625
"Atele_fusciceps",295888496,76112250,0.257232880050869
"Sapajus_apella",26964080,10657040,0.395230988782113
"Gorilla_gorilla_gorilla",44845930,13803750,0.307803851988352
"Microcebus_murinus",386707804,125248495,0.323884063637878
"Erythrocebus_patas",17914477,5909764,0.329887609892268
"Nycticebus_pygmaeus",283275816,124930924,0.441022201485777
"Galago_moholi",127813359,59843097,0.468206903161038
"Cebus_albifrons",242439065,72331336,0.298348519039207
"Colobus_guereza",41483448,10508771,0.253324434362351
"Cercopithecus_mitis",246109824,42268887,0.171748068862135
"Saguinus_midas",196495643,76550019,0.389576164800764
"Rhinopithecus_roxellana",220391525,43955132,0.199441117347865
"Loris_tardigradus",26170338,15514964,0.592845380904137
"Mandrillus_sphinx",63707089,12790302,0.20076732747905
"Otolemur_garnettii",46407933,21928599,0.472518330001899
"Pithecia_pithecia",502630967,125588752,0.24986274273865
"Macaca_mulatta",214185096,51870500,0.242176047580827
"Nomascus_leucogenys",128852678,17894861,0.138878456216486
"Chlorocebus_aethiops",111065956,21029626,0.189343582474543
"Pan_troglodytes",69191017,11705310,0.16917383943063
